freq,unit,category,sex,geo\TIME_PERIOD	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,RT_UNE,HRSTU,M,CH	: 	: 	1.9 	2.5 	1.4 b	0.8 u	0.7 u	0.5 u	1.3 	2.0 	1.7 	1.6 b	1.4 	1.3 	1.2 	1.7 	2.0 b	1.8 b	2.0 	2.3 	2.5 b	2.6 	2.4 	2.4 	2.3 	2.1 	2.3 	2.4 b	2.1 	2.1 	2.3 
A,RT_UNE,HRSTU,M,CY	: 	: 	: 	: 	: 	: 	1.8 u	1.4 u	1.5 u	2.5 	1.8 u	2.6 b	2.7 	2.0 	2.2 	3.1 b	3.9 	5.6 b	7.5 	10.2 	10.0 b	8.6 	8.6 	7.4 	6.2 	4.4 	6.3 	5.1 b	4.2 	4.6 	3.0 
A,RT_UNE,HRSTU,M,CZ	: 	: 	: 	: 	0.8 b	1.2 	1.1 	1.0 	0.9 	0.9 b	1.0 	1.0 b	1.1 	0.8 	0.7 	1.2 	1.4 b	1.4 b	1.4 	1.3 	1.4 b	1.3 	0.9 	0.7 	0.6 	0.5 	0.7 	0.8 b	0.5 	0.6 	0.8 
A,RT_UNE,HRSTU,M,DE	2.5 	2.8 	3.1 b	3.3 	: 	3.0 	2.3 	2.4 	2.4 	2.9 	3.3 	3.6 b	3.0 b	2.3 	2.0 	2.2 	2.0 b	1.5 b	1.5 b	1.5 	1.6 b	1.5 	1.5 	1.4 	1.3 	1.2 	1.8 b	1.7 b	1.3 	1.4 	1.6 
A,RT_UNE,HRSTU,M,DK	3.1 	3.4 	2.4 	2.1 	2.0 b	1.7 	1.5 	2.3 	2.4 	3.0 b	3.0 	2.5 b	1.9 	1.8 b	1.4 b	2.5 	3.0 	2.9 b	2.7 	2.8 	2.8 b	2.6 	2.8 b	2.7 b	2.2 	2.5 	2.9 	2.9 b	2.4 	2.6 b	3.1 
A,RT_UNE,HRSTU,M,EA21	: 	: 	: 	: 	: 	: 	: 	: 	2.8 	3.1 	3.3 	3.3 b	2.9 	2.5 	2.4 	3.4 	3.7 	3.7 b	4.2 	4.6 	4.5 b	4.2 	3.8 	3.3 	3.2 	3.0 	3.5 	3.5 b	2.8 	2.8 	2.9 
A,RT_UNE,HRSTU,M,EE	: 	: 	: 	6.7 	3.7 b	4.1 	5.6 bu	7.7 u	: u	: u	: u	3.6 b	2.7 u	2.0 u	2.4 u	5.6 	9.6 	5.4 b	4.4 	4.2 	3.7 b	2.6 	3.1 	2.8 	2.8 	2.0 	3.4 	2.8 b	3.0 	2.3 	2.7 
A,RT_UNE,HRSTU,M,EL	3.5 	3.7 	3.8 	3.7 	3.6 b	4.6 	4.1 	4.0 b	3.5 	3.6 	3.8 b	3.8 b	3.8 	3.8 	3.8 	4.3 b	6.0 	9.3 b	12.7 	14.7 	15.2 b	14.6 	11.9 	10.9 	8.9 	7.4 	8.2 	7.5 b	6.2 	5.5 	5.3 
A,RT_UNE,HRSTU,M,ES	10.4 b	10.0 	9.8 	9.4 	7.8 b	6.5 	5.7 	4.3 b	4.6 	5.1 	5.0 	4.5 b	3.8 b	3.4 	4.3 	7.6 	8.8 	9.8 b	11.7 	12.7 	11.6 b	9.8 	8.7 	7.2 	6.6 	6.5 	7.9 	7.2 bd	5.7 d	5.4 d	5.2 d
A,RT_UNE,HRSTU,M,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	2.7 	3.0 	3.2 	3.2 b	2.9 	2.4 	2.3 	3.3 	3.6 	3.6 b	4.0 	4.3 	4.3 b	3.9 	3.5 	3.1 	2.9 	2.8 	3.2 	3.1 b	2.6 	2.6 	2.7 
